Name,Abbreviation,Description,Interpretation,Result Status,Result 1,Result 2,Result 3,Details
Weighted Service Interface Count,WSIC,Weighted number of exposed interfaces or operations per service (all weights = 1.0),"Value range: [0,INF), lower is better",Multiple Results,order-service,4.0,,
Weighted Service Interface Count,WSIC,Weighted number of exposed interfaces or operations per service (all weights = 1.0),"Value range: [0,INF), lower is better",Multiple Results,message-service,2.0,,
Weighted Service Interface Count,WSIC,Weighted number of exposed interfaces or operations per service (all weights = 1.0),"Value range: [0,INF), lower is better",Multiple Results,author-service,4.0,,
Service Composition Pattern,SCP,Fraction of services which are composite,"Value range: [0,1], lower is better",Single Result,0.0,,,
Inverse of Average Number of Used Message,IAUM,Ratio between number of services and message types,"Value range: (0,1], very low values should be avoided",Single Result,0.67,,,
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,discovery-server,[http get],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,discovery-server,[http put],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,discovery-server,[http delete],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,discovery-server,[security filterchain before],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,discovery-server,[secured request],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,discovery-server,[security filterchain after],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,discovery-server,[http post],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,book-service,[graphql field create-book],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,book-service,[graphql -delete-book],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,book-service,[graphql field get-all-books],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,book-service,[graphql field delete-book],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,book-service,[graphql -get-books],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,book-service,[graphql -create-book],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,book-service,[http post /api/graphql],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,book-service,[http get /actuator/prometheus],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http get],1.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http delete],1.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http options],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,api-gateway,[http post],1.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,stock-check-service,[http get /actuator/prometheus],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,stock-check-service,[http get /api/stockcheck],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,order-service,[stock-check-service-lookup],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,order-service,[message-topic],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,order-service,[http get /actuator/prometheus],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,order-service,[http post /api/order],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,message-service,[on-message],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,message-service,[http get /actuator/prometheus],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,author-service,[http get /api/authors],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,author-service,[http post /api/authors],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,author-service,[http delete /api/authors/{id}],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,author-service,[http get /actuator/prometheus],0.0,api-gateway ([http post]): [http post] / api-gateway ([http get]): [http get] / api-gateway ([http delete]): [http delete]
Total Response for Service,TRS,Sum of RFO values for all operations,"Value range: [0,INF), lower is better",Single Result,3.0,,,
Mean Absolute Importance/Dependence in the System,MAIDS,Mean number of services which depend on a service / Mean number of services a service depends on,"Value range: [0,5], lower is better",Single Result,0.83,,,
Mean Absolute Coupling in the System,MACS,Mean number of services which depend on a service or a service depends on,"Value range: [0,10], lower is better",Single Result,1.67,,,
Cyclic Service Dependencies,CSD,Number of cycles in the dependencies,"Value range: [0,2344], lower is better",Single Result,0.0,,,
